CollegeID,Institution,TOTAL No. of seats,TOTAL No. of students admitted,No. of students joined in Orphan Quota,No. of students Joined in PHC Quota,SC,SC-CC,ST,BC,Minority,OC
10,SIRPUR-T(B),40,0,0,0,30,1,3,5,1,0
11,SIRPUR-T(B),40,2,0,0,28,1,2,5,1,1
12,SIRPUR-T(G),40,18,0,0,12,1,2,5,1,1
13,SIRPUR-T(G),40,1,0,0,29,1,2,5,1,1
14,BELLAMPALLI (G),40,1,0,0,30,1,1,5,1,1
15,BELLAMPALLI (G),40,30,0,0,2,1,0,5,1,1
20,KASIPET,40,0,0,0,30,1,3,5,1,0
21,KASIPET,40,3,0,0,27,1,2,5,1,1
27,GOLLAPALLE,40,4,0,0,26,1,2,5,1,1
28,GOLLAPALLE,40,8,0,0,22,1,2,5,1,1
30,KORATLA,40,4,0,0,28,1,2,3,1,1
31,KORATLA,40,11,0,0,19,1,2,5,1,1
34,METPALLE,40,23,0,0,8,1,1,5,1,1
35,CHINTHAKUNTA,40,6,0,0,25,1,2,5,1,0
36,CHINTHAKUNTA,40,31,0,0,0,1,1,5,1,1
37,CHOPPADANDI,40,13,0,0,19,1,0,5,1,1
57,GARREPALLI,40,30,0,0,4,1,1,2,1,1
58,GARREPALLI,40,13,0,0,17,1,2,5,1,1
72,MANUGURU,40,0,0,0,30,1,2,5,1,1
81,KALLURU,40,20,0,0,11,1,2,5,0,1
82,KALLURU,40,30,0,0,2,1,2,4,1,0
98,YERRUPALEM,40,19,0,0,13,1,0,5,1,1
99,YERRUPALEM,40,23,0,0,10,1,2,3,1,0
119,INUGURTHY / K SAMUDRAM ,40,10,0,0,21,0,2,5,1,1
120,INUGURTHY / K SAMUDRAM ,40,6,0,0,25,1,2,4,1,1
135,NARSAMPET,80,7,0,0,56,0,5,9,2,1
146,SHAMSHABAD,40,13,0,0,17,1,2,5,1,1
147,SHAMSHABAD,40,32,0,0,1,1,2,3,1,0
153,BANTWARAM,80,75,0,0,0,0,3,0,1,1
167,BEJJANKI,40,17,0,0,15,1,1,4,1,1
168,BEJJANKI,40,19,0,0,15,1,2,2,1,0
169,CHERIAL,80,33,0,0,29,2,5,8,2,1
174,HUSNABAD,80,25,0,0,38,2,3,8,2,2
179,RAMAKKAPET,80,36,1,0,27,2,5,7,2,1
187,MEDAK,80,60,0,0,8,2,2,4,2,2
193,HATNOORA UG,80,41,0,0,26,2,2,5,2,2
203,SINGOOR,40,14,0,0,17,1,1,5,1,1
204,SINGOOR,40,30,0,0,5,1,0,2,1,1
243,R.R.GUDEM,40,24,0,0,7,1,1,5,1,1
244,R.R.GUDEM,40,36,0,0,0,0,0,3,1,0
256,BICHKUNDA,40,4,0,0,27,0,2,5,1,1
257,BICHKUNDA,40,14,0,0,18,0,2,4,1,1
258,EKLARA,80,31,0,0,34,2,3,7,2,1
276,LEFT POCHAMPAD / NIRMAL,40,26,0,0,4,2,2,4,1,1
277,LEFT POCHAMPAD / NIRMAL,40,2,0,0,27,2,2,5,1,1
308,NAKREKAL(G),80,21,0,0,42,1,5,8,2,1
324,THUNGATHURTHY,40,13,0,0,17,1,2,5,1,1
325,THUNGATHURTHY,40,11,0,0,19,1,2,5,1,1
344,ALAIR,40,11,0,0,22,1,2,2,1,1
345,ALAIR,40,21,0,0,11,1,1,4,1,1
